Age,Gender,CityTier,Tenure,AvgSessionDuration,PageViewsPerSession,BounceRate,TotalTransactions,AvgOrderValue,DaysSinceLastPurchase,HighValuePurchase
56,Female,1,17,12.597499326397912,11,18.75870022260043,9,166.88560895858583,11,0
46,Male,1,4,8.030439577231324,15,53.85507586392324,6,142.3054679395642,13,0
32,Male,2,2,8.81365738669474,16,24.821519989467713,9,175.64378564658443,49,0
60,Female,1,3,11.481834253080974,21,23.732514331843273,7,375.17139601142594,23,1
25,Male,2,3,3.588017129188648,14,13.602476579879411,7,250.991598565606,8,0
38,Female,3,9,10.416885520111103,9,3.6634160817012376,15,237.3851844584224,10,1
56,Female,3,23,11.907034170186966,12,29.70036380677734,5,457.7454356615181,18,0
36,Male,2,1,5.3331190218871285,15,29.344421022081946,6,134.02194750603422,43,0
40,Male,3,15,12.147917436810978,13,56.5738263279169,9,249.67923389928802,179,0
28,Male,2,13,14.17314824090475,16,18.767420784396368,7,282.34232001854275,6,0
28,Female,2,25,10.333540011532486,11,13.15268104238804,9,400.0358103634454,42,1
41,Male,1,4,9.78351310598037,11,44.63691916512419,10,91.0844962238551,28,0
53,Male,2,8,4.640671852612225,18,29.872605576416504,4,446.275981613897,22,0
57,Male,2,32,11.207611787122772,13,28.762386707246034,7,243.27938530441853,101,1
41,Female,2,13,4.923228042088661,15,17.470035855331627,7,357.44794417725944,11,0
20,Male,2,6,9.10922240792109,8,6.94415834034115,5,102.94018257260022,5,0
39,Male,1,2,9.413285321993074,19,40.098166523282856,9,50.0,63,1
19,Female,2,4,1.0,17,48.09671353448829,6,291.79483504906545,2,0
41,Female,3,11,9.217410150607254,12,41.346100138004374,12,131.16682562472016,50,0
61,Male,2,16,15.864424359435464,12,11.7389365395663,7,238.09139119539248,26,0
47,Male,3,2,1.7244307331885853,9,36.99613945203299,3,167.93617241041176,5,0
55,Male,3,11,7.838324017960596,14,36.82239903024316,8,399.2757927306429,7,1
19,Female,3,10,2.158653869796142,15,33.84275412899645,4,224.54693392250343,5,0
38,Male,3,9,5.317575683584469,11,18.509327622927923,10,161.63166626393155,38,0
50,Male,3,15,2.2106694355390886,13,16.52096123578587,10,50.0,4,0
29,Female,2,22,8.478626980991653,8,5.730161998007341,10,97.40131324102967,34,0
39,Female,1,5,10.380814409778782,16,32.735986651386796,8,149.14619379978075,4,0
61,Male,2,27,9.229215898307276,6,22.303524164960216,4,332.1563712538153,48,0
42,Female,2,3,5.209452591627284,12,9.305061143862996,7,246.8701828154834,75,0
44,Female,2,3,6.171815730212217,18,9.100962219592637,8,63.07745007738386,24,0
59,Male,2,4,8.816818058256917,10,18.056925727639936,9,61.75650370919217,101,0
45,Male,3,2,5.303228029583238,11,55.829435534549134,3,188.60138328929844,14,0
33,Female,3,4,4.013614674453075,14,2.653373644295962,7,494.2281948099888,8,1
32,Male,3,2,7.282618819694116,16,7.628405081371213,10,294.11238665008585,5,0
64,Male,2,21,5.165875372182777,10,36.61067724022713,8,50.0,19,0
61,Male,1,2,9.234673751760928,13,29.366771639969404,12,139.63251955064317,4,0
